ID,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Suggested_Crop
1,Black,7.0,90,42,43,20.8,20.8,Cotton
2,Black,6.5,85,58,41,20.3,21.7,Wheat
3,Black,7.8,60,55,44,23.0,23.0,Linseed
4,Red,6.9,74,35,40,26.4,26.4,Groundnut
5,Red,7.6,78,42,42,20.1,20.1,Millet
6,Red,7.0,69,37,42,23.0,23.0,Pulses
7,Alluvial,5.7,69,55,38,22.7,22.7,Rice
8,Alluvial,6.6,94,53,40,20.2,20.2,Sugarcane
9,Alluvial,6.2,89,54,38,24.5,24.5,Wheat
10,Clayey,6.1,68,58,38,23.2,23.2,Soyabean
11,Clayey,6.2,67,60,39,22.4,22.4,Rice
12,Clayey,6.0,70,55,41,21.5,21.5,Gram
13,Silty,6.5,80,45,45,25.0,25.0,Maize
14,Silty,6.8,82,48,44,24.2,24.2,Wheat
15,Silty,6.3,78,44,46,23.8,23.8,Vegetables
16,Black,7.1,92,40,42,21.5,21.5,Cotton
17,Black,6.6,88,56,40,20.8,22.0,Wheat
18,Black,7.9,62,53,45,23.5,23.5,Linseed
19,Red,6.8,72,38,41,26.0,26.0,Groundnut
20,Red,7.5,76,40,43,20.5,20.5,Millet
21,Red,7.1,70,36,41,23.5,23.5,Pulses
22,Alluvial,5.8,70,53,39,22.5,22.5,Rice
23,Alluvial,6.5,92,55,41,20.5,20.5,Sugarcane
24,Alluvial,6.3,87,52,39,24.0,24.0,Wheat
25,Clayey,6.2,69,56,39,23.5,23.5,Soyabean
26,Clayey,6.3,66,59,40,22.0,22.0,Rice
27,Clayey,6.1,71,54,42,21.0,21.0,Gram
28,Silty,6.6,81,44,46,25.5,25.5,Maize
29,Silty,6.9,83,47,45,24.5,24.5,Wheat
30,Silty,6.4,79,43,47,23.5,23.5,Vegetables
31,Black,7.2,94,38,41,22.0,22.0,Cotton
32,Black,6.7,90,54,39,21.0,22.5,Wheat
33,Black,8.0,64,51,46,24.0,24.0,Linseed
34,Red,6.7,70,39,42,25.5,25.5,Groundnut
35,Red,7.4,74,38,44,21.0,21.0,Millet
36,Red,7.2,71,35,40,24.0,24.0,Pulses
37,Alluvial,5.9,71,51,40,22.0,22.0,Rice
38,Alluvial,6.4,90,57,42,21.0,21.0,Sugarcane
39,Alluvial,6.4,85,50,40,23.5,23.5,Wheat
40,Clayey,6.3,70,54,40,24.0,24.0,Soyabean
41,Clayey,6.4,65,58,41,21.5,21.5,Rice
42,Clayey,6.2,72,53,43,20.5,20.5,Gram
43,Silty,6.7,82,43,47,26.0,26.0,Maize
44,Silty,7.0,84,46,46,25.0,25.0,Wheat
45,Silty,6.5,80,42,48,24.0,24.0,Vegetables
46,Black,7.3,96,36,40,22.5,22.5,Cotton
47,Black,6.8,92,52,38,21.5,23.0,Wheat
48,Black,8.1,66,49,47,24.5,24.5,Linseed
49,Red,6.6,68,40,43,25.0,25.0,Groundnut
50,Red,7.3,72,36,45,21.5,21.5,Millet
51,Red,7.3,72,34,39,24.5,24.5,Pulses
52,Alluvial,6.0,72,49,41,21.5,21.5,Rice
53,Alluvial,6.3,88,59,43,21.5,21.5,Sugarcane
54,Alluvial,6.5,83,48,41,23.0,23.0,Wheat
55,Clayey,6.4,71,52,41,24.5,24.5,Soyabean
56,Clayey,6.5,64,57,42,21.0,21.0,Rice
57,Clayey,6.3,73,52,44,20.0,20.0,Gram
58,Silty,6.8,83,42,48,26.5,26.5,Maize
59,Silty,7.1,85,45,47,25.5,25.5,Wheat
60,Silty,6.6,81,41,49,24.5,24.5,Vegetables
61,Black,7.4,98,34,39,23.0,23.0,Cotton
62,Black,6.9,94,50,37,22.0,23.5,Wheat
63,Black,8.2,68,47,48,25.0,25.0,Linseed
64,Red,6.5,66,41,44,24.5,24.5,Groundnut
65,Red,7.2,70,34,46,22.0,22.0,Millet
66,Red,7.4,73,33,38,25.0,25.0,Pulses
67,Alluvial,6.1,73,47,42,21.0,21.0,Rice
68,Alluvial,6.2,86,61,44,22.0,22.0,Sugarcane
69,Alluvial,6.6,81,46,42,22.5,22.5,Wheat
70,Clayey,6.5,72,50,42,25.0,25.0,Soyabean
71,Clayey,6.6,63,56,43,20.5,20.5,Rice
72,Clayey,6.4,74,51,45,19.5,19.5,Gram
73,Silty,6.9,84,41,49,27.0,27.0,Maize
74,Silty,7.2,86,44,48,26.0,26.0,Wheat
75,Silty,6.7,82,40,50,25.0,25.0,Vegetables
76,Black,7.5,100,32,38,23.5,23.5,Cotton
77,Black,7.0,96,48,36,22.5,24.0,Wheat
78,Black,8.3,70,45,49,25.5,25.5,Linseed
79,Red,6.4,64,42,45,24.0,24.0,Groundnut
80,Red,7.1,68,32,47,22.5,22.5,Millet
81,Red,7.5,74,32,37,25.5,25.5,Pulses
82,Alluvial,6.2,74,45,43,20.5,20.5,Rice
83,Alluvial,6.1,84,63,45,22.5,22.5,Sugarcane
84,Alluvial,6.7,79,44,43,22.0,22.0,Wheat
85,Clayey,6.6,73,48,43,25.5,25.5,Soyabean
86,Clayey,6.7,62,55,44,20.0,20.0,Rice
87,Clayey,6.5,75,50,46,19.0,19.0,Gram
88,Silty,7.0,85,40,50,27.5,27.5,Maize
89,Silty,7.3,87,43,49,26.5,26.5,Wheat
90,Silty,6.8,83,39,51,25.5,25.5,Vegetables
91,Black,7.6,102,30,37,24.0,24.0,Cotton
92,Black,7.1,98,46,35,23.0,24.5,Wheat
93,Black,8.4,72,43,50,26.0,26.0,Linseed
94,Red,6.3,62,43,46,23.5,23.5,Groundnut
95,Red,7.0,66,30,48,23.0,23.0,Millet
96,Red,7.6,75,31,36,26.0,26.0,Pulses
97,Alluvial,6.3,75,43,44,20.0,20.0,Rice
98,Alluvial,6.0,82,65,46,23.0,23.0,Sugarcane
99,Alluvial,6.8,77,42,44,21.5,21.5,Wheat
100,Clayey,6.7,74,46,44,26.0,26.0,Soyabean
101,Clayey,6.8,61,54,45,19.5,19.5,Rice
102,Clayey,6.6,76,49,47,18.5,18.5,Gram
103,Silty,7.1,86,39,51,28.0,28.0,Maize
104,Silty,7.4,88,42,50,27.0,27.0,Wheat
105,Silty,6.9,84,38,52,26.0,26.0,Vegetables
106,Black,7.7,104,28,36,24.5,24.5,Cotton
107,Black,7.2,100,44,34,23.5,25.0,Wheat
108,Black,8.5,74,41,51,26.5,26.5,Linseed
109,Red,6.2,60,44,47,23.0,23.0,Groundnut
110,Red,6.9,64,28,49,23.5,23.5,Millet
111,Red,7.7,76,30,35,26.5,26.5,Pulses
112,Alluvial,6.4,76,41,45,19.5,19.5,Rice
113,Alluvial,5.9,80,67,47,23.5,23.5,Sugarcane
114,Alluvial,6.9,75,40,45,21.0,21.0,Wheat
115,Clayey,6.8,75,44,45,26.5,26.5,Soyabean
116,Clayey,6.9,60,53,46,19.0,19.0,Rice
117,Clayey,6.7,77,48,48,18.0,18.0,Gram
118,Silty,7.2,87,38,52,28.5,28.5,Maize
119,Silty,7.5,89,41,51,27.5,27.5,Wheat
120,Silty,7.0,85,37,53,26.5,26.5,Vegetables
121,Black,7.8,106,26,35,25.0,25.0,Cotton
122,Black,7.3,102,42,33,24.0,25.5,Wheat
123,Black,8.6,76,39,52,27.0,27.0,Linseed
124,Red,6.1,58,45,48,22.5,22.5,Groundnut
125,Red,6.8,62,26,50,24.0,24.0,Millet
126,Red,7.8,77,29,34,27.0,27.0,Pulses
127,Alluvial,6.5,77,39,46,19.0,19.0,Rice
128,Alluvial,5.8,78,69,48,24.0,24.0,Sugarcane
129,Alluvial,7.0,73,38,46,20.5,20.5,Wheat
130,Clayey,6.9,76,42,46,27.0,27.0,Soyabean
131,Clayey,7.0,59,52,47,18.5,18.5,Rice
132,Clayey,6.8,78,47,49,17.5,17.5,Gram
133,Silty,7.3,88,37,53,29.0,29.0,Maize
134,Silty,7.6,90,40,52,28.0,28.0,Wheat
135,Silty,7.1,86,36,54,27.0,27.0,Vegetables
136,Black,7.9,108,24,34,25.5,25.5,Cotton
137,Black,7.4,104,40,32,24.5,26.0,Wheat
138,Black,8.7,78,37,53,27.5,27.5,Linseed
139,Red,6.0,56,46,49,22.0,22.0,Groundnut
140,Red,6.7,60,24,51,24.5,24.5,Millet
141,Red,7.9,78,28,33,27.5,27.5,Pulses
142,Alluvial,6.6,78,37,47,18.5,18.5,Rice
143,Alluvial,5.7,76,71,49,24.5,24.5,Sugarcane
144,Alluvial,7.1,71,36,47,20.0,20.0,Wheat
145,Clayey,7.0,77,40,47,27.5,27.5,Soyabean
146,Clayey,7.1,58,51,48,18.0,18.0,Rice
147,Clayey,6.9,79,46,50,17.0,17.0,Gram
148,Silty,7.4,89,36,54,29.5,29.5,Maize
149,Silty,7.7,91,39,53,28.5,28.5,Wheat
150,Silty,7.2,87,35,55,27.5,27.5,Vegetables
151,Black,8.0,110,22,33,26.0,26.0,Cotton
152,Black,7.5,106,38,31,25.0,26.5,Wheat
153,Black,8.8,80,35,54,28.0,28.0,Linseed
154,Red,5.9,54,47,50,21.5,21.5,Groundnut
155,Red,6.6,58,22,52,25.0,25.0,Millet
156,Red,8.0,79,27,32,28.0,28.0,Pulses
157,Alluvial,6.7,79,35,48,18.0,18.0,Rice
158,Alluvial,5.6,74,73,50,25.0,25.0,Sugarcane
159,Alluvial,7.2,69,34,48,19.5,19.5,Wheat
160,Clayey,7.1,78,38,48,28.0,28.0,Soyabean
161,Clayey,7.2,57,50,49,17.5,17.5,Rice
162,Clayey,7.0,80,45,51,16.5,16.5,Gram
163,Silty,7.5,90,35,55,30.0,30.0,Maize
164,Silty,7.8,92,38,54,29.0,29.0,Wheat
165,Silty,7.3,88,34,56,28.0,28.0,Vegetables
166,Black,8.1,112,20,32,26.5,26.5,Cotton
167,Black,7.6,108,36,30,25.5,27.0,Wheat
168,Black,8.9,82,33,55,28.5,28.5,Linseed
169,Red,5.8,52,48,51,21.0,21.0,Groundnut
170,Red,6.5,56,20,53,25.5,25.5,Millet
171,Red,8.1,80,26,31,28.5,28.5,Pulses
172,Alluvial,6.8,80,33,49,17.5,17.5,Rice
173,Alluvial,5.5,72,75,51,25.5,25.5,Sugarcane
174,Alluvial,7.3,67,32,49,19.0,19.0,Wheat
175,Clayey,7.2,79,36,49,28.5,28.5,Soyabean
176,Clayey,7.3,56,49,50,17.0,17.0,Rice
177,Clayey,7.1,81,44,52,16.0,16.0,Gram
178,Silty,7.6,91,34,56,30.5,30.5,Maize
179,Silty,7.9,93,37,55,29.5,29.5,Wheat
180,Silty,7.4,89,33,57,28.5,28.5,Vegetables
181,Black,8.2,114,18,31,27.0,27.0,Cotton
182,Black,7.7,110,34,29,26.0,27.5,Wheat
183,Black,9.0,84,31,56,29.0,29.0,Linseed
184,Red,5.7,50,49,52,20.5,20.5,Groundnut
185,Red,6.4,54,18,54,26.0,26.0,Millet
186,Red,8.2,81,25,30,29.0,29.0,Pulses
187,Alluvial,6.9,81,31,50,17.0,17.0,Rice
188,Alluvial,5.4,70,77,52,26.0,26.0,Sugarcane
189,Alluvial,7.4,65,30,50,18.5,18.5,Wheat
190,Clayey,7.3,80,34,50,29.0,29.0,Soyabean
191,Clayey,7.4,55,48,51,16.5,16.5,Rice
192,Clayey,7.2,82,43,53,15.5,15.5,Gram
193,Silty,7.7,92,33,57,31.0,31.0,Maize
194,Silty,8.0,94,36,56,30.0,30.0,Wheat
195,Silty,7.5,90,32,58,29.0,29.0,Vegetables
196,Black,8.3,116,16,30,27.5,27.5,Cotton
197,Black,7.8,112,32,28,26.5,28.0,Wheat
198,Black,9.1,86,29,57,29.5,29.5,Linseed
199,Red,5.6,48,50,53,20.0,20.0,Groundnut
200,Red,6.3,52,16,55,26.5,26.5,Millet
201,Red,8.3,82,24,29,29.5,29.5,Pulses
202,Alluvial,7.0,82,29,51,16.5,16.5,Rice
203,Alluvial,5.3,68,79,53,26.5,26.5,Sugarcane
204,Alluvial,7.5,63,28,51,18.0,18.0,Wheat
205,Clayey,7.4,81,32,51,29.5,29.5,Soyabean
206,Clayey,7.5,54,47,52,16.0,16.0,Rice
207,Clayey,7.3,83,42,54,15.0,15.0,Gram
208,Silty,7.8,93,32,58,31.5,31.5,Maize
209,Silty,8.1,95,35,57,30.5,30.5,Wheat
210,Silty,7.6,91,31,59,29.5,29.5,Vegetables
211,Black,8.4,118,14,29,28.0,28.0,Cotton
212,Black,7.9,114,30,27,27.0,28.5,Wheat
213,Black,9.2,88,27,58,30.0,30.0,Linseed
214,Red,5.5,46,51,54,19.5,19.5,Groundnut
215,Red,6.2,50,14,56,27.0,27.0,Millet
216,Red,8.4,83,23,28,30.0,30.0,Pulses
217,Alluvial,7.1,83,27,52,16.0,16.0,Rice
218,Alluvial,5.2,66,81,54,27.0,27.0,Sugarcane
219,Alluvial,7.6,61,26,52,17.5,17.5,Wheat
220,Clayey,7.5,82,30,52,30.0,30.0,Soyabean
221,Clayey,7.6,53,46,53,15.5,15.5,Rice
222,Clayey,7.4,84,41,55,14.5,14.5,Gram
223,Silty,7.9,94,31,59,32.0,32.0,Maize
224,Silty,8.2,96,34,58,31.0,31.0,Wheat
225,Silty,7.7,92,30,60,30.0,30.0,Vegetables
226,Black,8.5,120,12,28,28.5,28.5,Cotton
227,Black,8.0,116,28,26,27.5,29.0,Wheat
228,Black,9.3,90,25,59,30.5,30.5,Linseed
229,Red,5.4,44,52,55,19.0,19.0,Groundnut
230,Red,6.1,48,12,57,27.5,27.5,Millet
231,Red,8.5,84,22,27,30.5,30.5,Pulses
232,Alluvial,7.2,84,25,53,15.5,15.5,Rice
233,Alluvial,5.1,64,83,55,27.5,27.5,Sugarcane
234,Alluvial,7.7,59,24,53,17.0,17.0,Wheat
235,Clayey,7.6,83,28,53,30.5,30.5,Soyabean
236,Clayey,7.7,52,45,54,15.0,15.0,Rice
237,Clayey,7.5,85,40,56,14.0,14.0,Gram
238,Silty,8.0,95,30,60,32.5,32.5,Maize
239,Silty,8.3,97,33,59,31.5,31.5,Wheat
240,Silty,7.8,93,29,61,30.5,30.5,Vegetables
241,Black,8.6,122,10,27,29.0,29.0,Cotton
242,Black,8.1,118,26,25,28.0,29.5,Wheat
243,Black,9.4,92,23,60,31.0,31.0,Linseed
244,Red,5.3,42,53,56,18.5,18.5,Groundnut
245,Red,6.0,46,10,58,28.0,28.0,Millet
246,Red,8.6,85,21,26,31.0,31.0,Pulses
247,Alluvial,7.3,85,23,54,15.0,15.0,Rice
248,Alluvial,5.0,62,85,56,28.0,28.0,Sugarcane
249,Alluvial,7.8,57,22,54,16.5,16.5,Wheat
