ID,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Suggested_Crop
250,Clayey,7.7,84,26,54,31.0,31.0,Soyabean
251,Clayey,7.8,51,44,55,14.5,14.5,Rice
252,Clayey,7.6,86,39,57,13.5,13.5,Gram
253,Silty,8.1,96,29,61,33.0,33.0,Maize
254,Silty,8.4,98,32,60,32.0,32.0,Wheat
255,Silty,7.9,94,28,62,31.0,31.0,Vegetables
256,Black,8.7,124,8,26,29.5,29.5,Cotton
257,Black,8.2,120,24,24,28.5,30.0,Wheat
258,Black,9.5,94,21,61,31.5,31.5,Linseed
259,Red,5.2,40,54,57,18.0,18.0,Groundnut
260,Red,5.9,44,8,59,28.5,28.5,Millet
261,Red,8.7,86,20,25,31.5,31.5,Pulses
262,Alluvial,7.4,86,21,55,14.5,14.5,Rice
263,Alluvial,4.9,60,87,57,28.5,28.5,Sugarcane
264,Alluvial,7.9,55,20,55,16.0,16.0,Wheat
265,Clayey,7.8,85,24,55,31.5,31.5,Soyabean
266,Clayey,7.9,50,43,56,14.0,14.0,Rice
267,Clayey,7.7,87,38,58,13.0,13.0,Gram
268,Silty,8.2,97,28,62,33.5,33.5,Maize
269,Silty,8.5,99,31,61,32.5,32.5,Wheat
270,Silty,8.0,95,27,63,31.5,31.5,Vegetables
271,Black,8.8,126,6,25,30.0,30.0,Cotton
272,Black,8.3,122,22,23,29.0,30.5,Wheat
273,Black,9.6,96,19,62,32.0,32.0,Linseed
274,Red,5.1,38,55,58,17.5,17.5,Groundnut
275,Red,5.8,42,6,60,29.0,29.0,Millet
276,Red,8.8,87,19,24,32.0,32.0,Pulses
277,Alluvial,7.5,87,19,56,14.0,14.0,Rice
278,Alluvial,4.8,58,89,58,29.0,29.0,Sugarcane
279,Alluvial,8.0,53,18,56,15.5,15.5,Wheat
280,Clayey,7.9,86,22,56,32.0,32.0,Soyabean
281,Clayey,8.0,49,42,57,13.5,13.5,Rice
282,Clayey,7.8,88,37,59,12.5,12.5,Gram
283,Silty,8.3,98,27,63,34.0,34.0,Maize
284,Silty,8.6,100,30,62,33.0,33.0,Wheat
285,Silty,8.1,96,26,64,32.0,32.0,Vegetables
286,Black,8.9,128,4,24,30.5,30.5,Cotton
287,Black,8.4,124,20,22,29.5,31.0,Wheat
288,Black,9.7,98,17,63,32.5,32.5,Linseed
289,Red,5.0,36,56,59,17.0,17.0,Groundnut
290,Red,5.7,40,4,61,29.5,29.5,Millet
291,Red,8.9,88,18,23,32.5,32.5,Pulses
292,Alluvial,7.6,88,17,57,13.5,13.5,Rice
293,Alluvial,4.7,56,91,59,29.5,29.5,Sugarcane
294,Alluvial,8.1,51,16,57,15.0,15.0,Wheat
295,Clayey,8.0,87,20,57,32.5,32.5,Soyabean
296,Clayey,8.1,48,41,58,13.0,13.0,Rice
297,Clayey,7.9,89,36,60,12.0,12.0,Gram
298,Silty,8.4,99,26,64,34.5,34.5,Maize
299,Silty,8.7,101,29,63,33.5,33.5,Wheat
300,Silty,8.2,97,25,65,32.5,32.5,Vegetables
301,Black,9.0,130,2,23,31.0,31.0,Cotton
302,Black,8.5,126,18,21,30.0,31.5,Wheat
303,Black,9.8,100,15,64,33.0,33.0,Linseed
304,Red,4.9,34,57,60,16.5,16.5,Groundnut
305,Red,5.6,38,2,62,30.0,30.0,Millet
306,Red,9.0,89,17,22,33.0,33.0,Pulses
307,Alluvial,7.7,89,15,58,13.0,13.0,Rice
308,Alluvial,4.6,54,93,60,30.0,30.0,Sugarcane
309,Alluvial,8.2,49,14,58,14.5,14.5,Wheat
310,Clayey,8.1,88,18,58,33.0,33.0,Soyabean
311,Clayey,8.2,47,40,59,12.5,12.5,Rice
312,Clayey,8.0,90,35,61,11.5,11.5,Gram
313,Silty,8.5,100,25,65,35.0,35.0,Maize
314,Silty,8.8,102,28,64,34.0,34.0,Wheat
315,Silty,8.3,98,24,66,33.0,33.0,Vegetables
316,Black,9.1,132,0,22,31.5,31.5,Cotton
317,Black,8.6,128,16,20,30.5,32.0,Wheat
318,Black,9.9,102,13,65,33.5,33.5,Linseed
319,Red,4.8,32,58,61,16.0,16.0,Groundnut
320,Red,5.5,36,0,63,30.5,30.5,Millet
321,Red,9.1,90,16,21,33.5,33.5,Pulses
322,Alluvial,7.8,90,13,59,12.5,12.5,Rice
323,Alluvial,4.5,52,95,61,30.5,30.5,Sugarcane
324,Alluvial,8.3,47,12,59,14.0,14.0,Wheat
325,Clayey,8.2,89,16,59,33.5,33.5,Soyabean
326,Clayey,8.3,46,39,60,12.0,12.0,Rice
327,Clayey,8.1,91,34,62,11.0,11.0,Gram
328,Silty,8.6,101,24,66,35.5,35.5,Maize
329,Silty,8.9,103,27,65,34.5,34.5,Wheat
330,Silty,8.4,99,23,67,33.5,33.5,Vegetables
331,Black,9.2,134,0,21,32.0,32.0,Cotton
332,Black,8.7,130,14,19,31.0,32.5,Wheat
333,Black,10.0,104,11,66,34.0,34.0,Linseed
334,Red,4.7,30,59,62,15.5,15.5,Groundnut
335,Red,5.4,34,0,64,31.0,31.0,Millet
336,Red,9.2,91,15,20,34.0,34.0,Pulses
337,Alluvial,7.9,91,11,60,12.0,12.0,Rice
338,Alluvial,4.4,50,97,62,31.0,31.0,Sugarcane
339,Alluvial,8.4,45,10,60,13.5,13.5,Wheat
340,Clayey,8.3,90,14,60,34.0,34.0,Soyabean
341,Clayey,8.4,45,38,61,11.5,11.5,Rice
342,Clayey,8.2,92,33,63,10.5,10.5,Gram
343,Silty,8.7,102,23,67,36.0,36.0,Maize
344,Silty,9.0,104,26,66,35.0,35.0,Wheat
345,Silty,8.5,100,22,68,34.0,34.0,Vegetables
346,Black,9.3,136,0,20,32.5,32.5,Cotton
347,Black,8.8,132,12,18,31.5,33.0,Wheat
348,Black,10.1,106,9,67,34.5,34.5,Linseed
349,Red,4.6,28,60,63,15.0,15.0,Groundnut
350,Red,5.3,32,0,65,31.5,31.5,Millet
351,Red,9.3,92,14,19,34.5,34.5,Pulses
352,Alluvial,8.0,92,9,61,11.5,11.5,Rice
353,Alluvial,4.3,48,99,63,31.5,31.5,Sugarcane
354,Alluvial,8.5,43,8,61,13.0,13.0,Wheat
355,Clayey,8.4,91,12,61,34.5,34.5,Soyabean
356,Clayey,8.5,44,37,62,11.0,11.0,Rice
357,Clayey,8.3,93,32,64,10.0,10.0,Gram
358,Silty,8.8,103,22,68,36.5,36.5,Maize
359,Silty,9.1,105,25,67,35.5,35.5,Wheat
360,Silty,8.6,101,21,69,34.5,34.5,Vegetables
361,Black,9.4,138,0,19,33.0,33.0,Cotton
362,Black,8.9,134,10,17,32.0,33.5,Wheat
363,Black,10.2,108,7,68,35.0,35.0,Linseed
364,Red,4.5,26,61,64,14.5,14.5,Groundnut
365,Red,5.2,30,0,66,32.0,32.0,Millet
366,Red,9.4,93,13,18,35.0,35.0,Pulses
367,Alluvial,8.1,93,7,62,11.0,11.0,Rice
368,Alluvial,4.2,46,101,64,32.0,32.0,Sugarcane
369,Alluvial,8.6,41,6,62,12.5,12.5,Wheat
370,Clayey,8.5,92,10,62,35.0,35.0,Soyabean
371,Clayey,8.6,43,36,63,10.5,10.5,Rice
372,Clayey,8.4,94,31,65,9.5,9.5,Gram
373,Silty,8.9,104,21,69,37.0,37.0,Maize
374,Silty,9.2,106,24,68,36.0,36.0,Wheat
375,Silty,8.7,102,20,70,35.0,35.0,Vegetables
376,Black,9.5,140,0,18,33.5,33.5,Cotton
377,Black,9.0,136,8,16,32.5,34.0,Wheat
378,Black,10.3,110,5,69,35.5,35.5,Linseed
379,Red,4.4,24,62,65,14.0,14.0,Groundnut
380,Red,5.1,28,0,67,32.5,32.5,Millet
381,Red,9.5,94,12,17,35.5,35.5,Pulses
382,Alluvial,8.2,94,5,63,10.5,10.5,Rice
383,Alluvial,4.1,44,103,65,32.5,32.5,Sugarcane
384,Alluvial,8.7,39,4,63,12.0,12.0,Wheat
385,Clayey,8.6,93,8,63,35.5,35.5,Soyabean
386,Clayey,8.7,42,35,64,10.0,10.0,Rice
387,Clayey,8.5,95,30,66,9.0,9.0,Gram
388,Silty,9.0,105,20,70,37.5,37.5,Maize
389,Silty,9.3,107,23,69,36.5,36.5,Wheat
390,Silty,8.8,103,19,71,35.5,35.5,Vegetables
391,Black,9.6,142,0,17,34.0,34.0,Cotton
392,Black,9.1,138,6,15,33.0,34.5,Wheat
393,Black,10.4,112,3,70,36.0,36.0,Linseed
394,Red,4.3,22,63,66,13.5,13.5,Groundnut
395,Red,5.0,26,0,68,33.0,33.0,Millet
396,Red,9.6,95,11,16,36.0,36.0,Pulses
397,Alluvial,8.3,95,3,64,10.0,10.0,Rice
398,Alluvial,4.0,42,105,66,33.0,33.0,Sugarcane
399,Alluvial,8.8,37,2,64,11.5,11.5,Wheat
400,Clayey,8.7,94,6,64,36.0,36.0,Soyabean
401,Clayey,8.8,41,34,65,9.5,9.5,Rice
402,Clayey,8.6,96,29,67,8.5,8.5,Gram
403,Silty,9.1,106,19,71,38.0,38.0,Maize
404,Silty,9.4,108,22,70,37.0,37.0,Wheat
405,Silty,8.9,104,18,72,36.0,36.0,Vegetables
406,Black,9.7,144,0,16,34.5,34.5,Cotton
407,Black,9.2,140,4,14,33.5,35.0,Wheat
408,Black,10.5,114,1,71,36.5,36.5,Linseed
409,Red,4.2,20,64,67,13.0,13.0,Groundnut
410,Red,4.9,24,0,69,33.5,33.5,Millet
411,Red,9.7,96,10,15,36.5,36.5,Pulses
412,Alluvial,8.4,96,1,65,9.5,9.5,Rice
413,Alluvial,3.9,40,107,67,33.5,33.5,Sugarcane
414,Alluvial,8.9,35,0,65,11.0,11.0,Wheat
415,Clayey,8.8,95,4,65,36.5,36.5,Soyabean
416,Clayey,8.9,40,33,66,9.0,9.0,Rice
417,Clayey,8.7,97,28,68,8.0,8.0,Gram
418,Silty,9.2,107,18,72,38.5,38.5,Maize
419,Silty,9.5,109,21,71,37.5,37.5,Wheat
420,Silty,9.0,105,17,73,36.5,36.5,Vegetables
421,Black,9.8,146,0,15,35.0,35.0,Cotton
422,Black,9.3,142,2,13,34.0,35.5,Wheat
423,Black,10.6,116,0,72,37.0,37.0,Linseed
424,Red,4.1,18,65,68,12.5,12.5,Groundnut
425,Red,4.8,22,0,70,34.0,34.0,Millet
426,Red,9.8,97,9,14,37.0,37.0,Pulses
427,Alluvial,8.5,97,0,66,9.0,9.0,Rice
428,Alluvial,3.8,38,109,68,34.0,34.0,Sugarcane
429,Alluvial,9.0,33,0,66,10.5,10.5,Wheat
430,Clayey,8.9,96,2,66,37.0,37.0,Soyabean
431,Clayey,9.0,39,32,67,8.5,8.5,Rice
432,Clayey,8.8,98,27,69,7.5,7.5,Gram
433,Silty,9.3,108,17,73,39.0,39.0,Maize
434,Silty,9.6,110,20,72,38.0,38.0,Wheat
435,Silty,9.1,106,16,74,37.0,37.0,Vegetables
436,Black,9.9,148,0,14,35.5,35.5,Cotton
437,Black,9.4,144,0,12,34.5,36.0,Wheat
438,Black,10.7,118,0,73,37.5,37.5,Linseed
439,Red,4.0,16,66,69,12.0,12.0,Groundnut
440,Red,4.7,20,0,71,34.5,34.5,Millet
441,Red,9.9,98,8,13,37.5,37.5,Pulses
442,Alluvial,8.6,98,0,67,8.5,8.5,Rice
443,Alluvial,3.7,36,111,69,34.5,34.5,Sugarcane
444,Alluvial,9.1,31,0,67,10.0,10.0,Wheat
445,Clayey,9.0,97,0,67,37.5,37.5,Soyabean
446,Clayey,9.1,38,31,68,8.0,8.0,Rice
447,Clayey,8.9,99,26,70,7.0,7.0,Gram
448,Silty,9.4,109,16,74,39.5,39.5,Maize
449,Silty,9.7,111,19,73,38.5,38.5,Wheat
450,Silty,9.2,107,15,75,37.5,37.5,Vegetables
451,Black,10.0,150,0,13,36.0,36.0,Cotton
452,Black,9.5,146,0,11,35.0,36.5,Wheat
453,Black,10.8,120,0,74,38.0,38.0,Linseed
454,Red,3.9,14,67,70,11.5,11.5,Groundnut
455,Red,4.6,18,0,72,35.0,35.0,Millet
456,Red,10.0,99,7,12,38.0,38.0,Pulses
457,Alluvial,8.7,99,0,68,8.0,8.0,Rice
458,Alluvial,3.6,34,113,70,35.0,35.0,Sugarcane
459,Alluvial,9.2,29,0,68,9.5,9.5,Wheat
460,Clayey,9.1,98,0,68,38.0,38.0,Soyabean
461,Clayey,9.2,37,30,69,7.5,7.5,Rice
462,Clayey,9.0,100,25,71,6.5,6.5,Gram
463,Silty,9.5,110,15,75,40.0,40.0,Maize
464,Silty,9.8,112,18,74,39.0,39.0,Wheat
465,Silty,9.3,108,14,76,38.0,38.0,Vegetables
466,Black,10.1,152,0,12,36.5,36.5,Cotton
467,Black,9.6,148,0,10,35.5,37.0,Wheat
468,Black,10.9,122,0,75,38.5,38.5,Linseed
469,Red,3.8,12,68,71,11.0,11.0,Groundnut
470,Red,4.5,16,0,73,35.5,35.5,Millet
471,Red,10.1,100,6,11,38.5,38.5,Pulses
472,Alluvial,8.8,100,0,69,7.5,7.5,Rice
473,Alluvial,3.5,32,115,71,35.5,35.5,Sugarcane
474,Alluvial,9.3,27,0,69,9.0,9.0,Wheat
475,Clayey,9.2,99,0,69,38.5,38.5,Soyabean
476,Clayey,9.3,36,29,70,7.0,7.0,Rice
477,Clayey,9.1,101,24,72,6.0,6.0,Gram
478,Silty,9.6,111,14,76,40.5,40.5,Maize
479,Silty,9.9,113,17,75,39.5,39.5,Wheat
480,Silty,9.4,109,13,77,38.5,38.5,Vegetables
481,Black,10.2,154,0,11,37.0,37.0,Cotton
482,Black,9.7,150,0,9,36.0,37.5,Wheat
483,Black,11.0,124,0,76,39.0,39.0,Linseed
484,Red,3.7,10,69,72,10.5,10.5,Groundnut
485,Red,4.4,14,0,74,36.0,36.0,Millet
486,Red,10.2,101,5,10,39.0,39.0,Pulses
487,Alluvial,8.9,101,0,70,7.0,7.0,Rice
488,Alluvial,3.4,30,117,72,36.0,36.0,Sugarcane
489,Alluvial,9.4,25,0,70,8.5,8.5,Wheat
490,Clayey,9.3,100,0,70,39.0,39.0,Soyabean
491,Clayey,9.4,35,28,71,6.5,6.5,Rice
492,Clayey,9.2,102,23,73,5.5,5.5,Gram
493,Silty,9.7,112,13,77,41.0,41.0,Maize
494,Silty,10.0,114,16,76,40.0,40.0,Wheat
495,Silty,9.5,110,12,78,39.0,39.0,Vegetables
496,Black,10.3,156,0,10,37.5,37.5,Cotton
497,Black,9.8,152,0,8,36.5,38.0,Wheat
498,Black,11.1,126,0,77,39.5,39.5,Linseed
499,Red,3.6,8,70,73,10.0,10.0,Groundnut
500,Red,4.3,12,0,75,36.5,36.5,Millet
